"method1" "method2"
5804.567 8722.54043333333
36173.85 53056.9484
2967.116 2508.3451
2414.837 6134.7954
788.4766 1786.0482
1094.222 1291.9265
967.7894 2436.16193333333
1468.835 1788.43473333333
2439.573 1753.17063333333
974.6148 1290.42403333333
3031.365 952.625066666667
1089.163 3951.53193333333
1011.348 3785.2699
1917.694 2532.82336666667
1864.117 1061.15996666667
802.7207 627.348266666667
557.1284 446.596066666667
2807.791 12404.4961666667
2808.725 5432.5124
7610.831 5620.54836666666
2742.727 4288.1442
1067.264 2025.5247
2401.569 3186.2293
601.2596 272.6246
8340.203 11458.9714333333
1168.578 2205.0968
1503.831 3355.93763333333
12530.06 12091.9826333333
33546.38 29491.7541
7644.216 8316.1159
702.0581 1375.54096666667
2119.412 2070.07613333333
4425.406 4412.24813333333
1804.073 1565.38183333333
3233.707 4176.8288
893.8024 476.4106
3024.344 2328.08653333333
1121.495 1152.0895
1830.466 1808.746
23728.42 12239.6144
976.3907 411.007033333334
799.5632 862.788333333333
2329.76 2680.2947
4490.858 17338.6948333333
57649.49 79522.6109666667
1527.289 2375.32026666667
1100.918 2054.95193333333
1444.516 1817.62856666667
288.5595 741.4489
7135.086 11899.7951666667
729.6141 702.2038
3992.162 3971.11373333333
8177.283 12385.5809333333
811.5765 2252.9121
3728.739 4049.1883
1578.428 3143.9016
4718.819 4743.6413
1233.058 486.512933333333
2612.483 5018.326
617.6534 1712.40056666667
3725.283 6603.81546666666
1254.033 2965.15946666667
1816.584 2890.50303333333
2055.052 4367.36013333333
933.4524 376.4644
1433.089 6649.13446666667
827.1152 1747.1079
1299.471 1971.27626666667
1834.308 2529.34046666667
2106.005 819.941233333333
3529.98 3883.54363333333
2490.115 1365.2562
3101.034 4696.6142
1050.099 2476.9284
3235.344 2885.87793333333
1269.777 3486.845
4177.662 8175.59416666667
905.6432 3419.88366666667
645.2059 2577.0359
2996.129 1929.7077
663.0319 1972.8144
5860.31 5560.2545
1757.261 2587.79303333333
24003.66 12112.7712333333
2957.951 2538.4971
3238.693 3421.1231
1607.42 2957.16223333333
8360.926 12361.9265666667
907.586 630.714400000001
1910.427 2830.34983333333
3014.079 2157.3456
4514.894 2592.8451
5714.437 3364.50316666666
1547.897 638.306566666667
2598.181 2009.08176666667
1446.075 5319.83873333333
2784.734 3422.53166666667
629.7911 776.577533333334
5954.929 7341.2093
47247.74 50103.8960666667
5871.945 5408.0621
581.1445 1061.3656
3800.669 3369.79516666667
16959.67 7618.99283333333
3797.781 4281.9186
1697.87 1692.1249
777.9795 286.0379
833.8212 531.379933333333
1218.333 2944.8343
2330.215 3182.69093333333
761.4654 2016.81256666667
761.4126 482.768933333334
1106.516 7362.77243333334
1910.464 4685.38403333333
1887.43 2390.8372
3337.858 1386.1734
816.6461 637.2578
1286.236 3060.18423333333
1542.766 3238.38183333333
24342.21 23790.6942666667
2288.635 3756.87143333333
20750.69 18356.6444
3536.12 3139.62316666667
1060.988 3075.20936666666
670.2905 1793.28826666667
714.9046 534.9904
1333.049 1338.042
2367.051 3681.24716666667
1629.689 2770.45126666667
2302.43 5780.26143333333
3275.78 1693.35233333333
1633.856 3445.0987
452.3528 1035.75023333333
3403.179 5820.782
1561.635 5130.8307
4981.775 6808.4011
1567.677 3423.63673333333
1138.142 3171.8516
32844.35 30800.8030666667
3006.446 5828.9532
2230.436 4412.674
4787.041 5597.1532
4088.876 2807.39216666667
896.8899 1596.7668
3098.163 6552.33483333333
2130.138 2334.93466666667
1645.068 1487.8453
7185.717 8681.0975
1069.961 1296.67203333333
1568.776 1822.1709
2347.002 7369.88733333334
1586.066 851.3687
10658.82 5875.7702
853.3506 1221.35453333333
846.2871 606.4769
3607.445 6157.32436666666
4901.714 7701.99023333333
2023.255 2360.07063333334
1454.119 366.3081
3570.751 5797.22453333333
590.8853 472.745466666666
885.7226 496.393933333333
993.9892 1358.54743333333
778.548 650.431133333333
18577.44 24895.7681
1490.286 529.023133333333
1387.033 3407.1243
1509.307 836.7014
4777.058 12483.7888666667
2334.944 6676.47243333333
1367.091 4336.05776666667
1621.291 978.564766666667
1513.858 2409.9373
9754.339 6388.8426
7747.153 10146.2796333333
2285.381 2835.56676666667
32100.97 24505.3774333333
3751.109 2835.4891
1301.514 2408.35156666667
1199.359 658.4997
635.5363 528.8818
4169.104 4901.80926666666
2293.208 2551.12646666667
1365.762 2704.64093333333
839.6402 2475.0113
3835.355 3277.46786666667
44570.43 44193.8013333333
3416.601 2209.4814
46462.14 73257.7015
3515.768 4101.87426666667
1005.158 1688.03916666667
1649.08 1952.5481
357.3189 172.433166666667
1090.366 2914.97283333333
37266.47 42257.4031666667
1070.815 2537.79876666667
1384.203 1011.0333
4901.013 3106.23956666666
1361.969 1674.75746666667
881.5831 718.6651
608.6572 449.9257
871.0569 6346.6938
5085.362 2840.31876666667
885.6157 2894.31466666667
1072.214 2940.67526666667
49925.56 72067.1594666667
3903.071 3687.09776666667
1343.094 3118.80583333333
2047.773 3124.71586666667
6139.559 3513.79433333334
870.1935 1673.6768
5800.512 7034.4202
852.0598 1275.836
1938.817 1802.45903333333
2750.391 3616.39013333333
930.6403 2801.3295
12766.65 23807.7684
1329.032 549.3215
7905.574 13590.7364333333
2217.935 2479.9799
1430.433 1454.23226666667
1234.571 3530.45956666667
1718.293 5421.15363333333
8870.362 7342.7852
5016.227 4319.96746666667
3399.832 2994.33463333333
2333.486 3505.79016666667
1959.087 1634.68276666667
328.136 352.006766666667
1427.037 1019.6678
1931.247 1655.79493333333
3204.297 3317.18753333333
474.442 383.2793
871.9751 256.835066666667
961.2255 1855.2
1026.446 2710.12423333333
700.6089 1489.44363333333
1456.924 1197.98113333333
4915.639 8738.48286666667
2550.718 1548.47493333333
726.5313 585.8492
3645.707 9063.36593333333
1793.586 6054.7971
1252.502 5323.11526666667
1820.019 1784.88873333333
2686.107 5419.911
1103.561 2566.68096666667
605.9196 1594.29043333333
537.4662 1863.12566666667
735.7997 1687.98036666667
3874.464 4646.23353333333
835.8821 1850.38116666667
1333.43 3207.4723
1136.5 3466.02813333333
6972.789 6611.1249
706.6422 4747.02046666667
2369.994 3320.76383333333
2998.862 3095.3693
1497.596 1163.58456666667
1600.835 3944.02106666667
567.329 1012.1742
58958.52 57034.2317333333
1337.513 2729.45103333333
2781.924 3710.3636
858.5949 502.941933333333
3053.767 6677.50413333334
1676.653 2664.51063333333
1127.299 1692.60783333333
634.4341 316.4452
741.0984 1613.6561
1046.651 494.039466666667
2963.33 3042.2316
1665.48 840.463633333333
1005.158 1684.07356666667
3045.169 6187.0176
2343.536 3522.43436666667
5479.572 2282.47803333333
3330.829 3697.31416666667
962.1082 4054.2783
28225.93 30312.9299333333
2126.907 3140.14613333333
936.6423 1573.41633333333
2140.868 2583.4199
2537.687 4349.21956666667
3323.646 4057.60153333333
988.7876 3216.72343333333
2427.745 2941.10153333333
616.2507 492.505966666667
13167.64 4015.54563333333
1646.599 1552.86473333333
1248.125 3087.03573333333
7818.233 2907.13916666667
5986.529 4680.48183333333
3478.305 2273.21703333333
12060.71 10941.1784
3697.16 6196.6577
3777.195 4553.28526666667
1280.164 3096.7223
897.3438 2141.7936
3069.538 3971.33006666667
949.4317 607.476666666666
1566.87 2428.48886666667
403.8252 3146.14156666666
1033.627 594.001066666667
2584.557 5285.7134
23491.17 29127.4056666667
4424.892 5434.85923333333
1450.865 3736.17233333333
12023.03 17567.1890666667
1361.194 2812.5209
1076.772 2204.1091
3407.793 5291.0984
3008.405 3653.6677
2291.157 1368.1195
4020.624 2318.62826666667
2673.173 2321.13993333333
38130.56 20438.2846333333
3762.277 1786.1378
50105.98 81647.5586333333
3668.725 6663.51396666667
2635.461 2399.34556666667
1349.432 1796.7327
18595.22 21695.7242333333
4064.832 2270.26983333333
12198.15 11320.6412333333
3565.56 2253.50576666667
513.8055 1596.19293333333
1932.42 1996.83493333333
2442.885 4055.48493333333
442.3609 317.028533333333
888.8957 1034.6193
3110.379 4750.84013333333
1257.148 1261.78923333333
3970.928 7573.3936
1345.861 3587.5892
764.169 571.490433333334
5368.367 5405.87253333333
1598.045 1459.52193333333
4387.564 6117.6122
565.1361 2112.7861
2154.54 1121.74013333333
3255.823 3063.10833333333
6139.517 2881.0179
2328.237 3165.00743333333
4422.576 8988.3852
4127.55 12243.0157333333
2600.339 679.0974
823.0731 1276.71776666667
810.7993 1232.178
1754.292 487.025066666667
3467.469 3394.9636
3064.922 3582.46343333333
1148.332 381.3778
1400.11 2488.32273333333
19557.81 28851.0758
5119.116 10528.3456666667
1976.234 4481.6161
1862.934 5280.1669
1831.596 2159.21023333333
11821.55 6881.6055
16327.78 5882.54826666667
1936.021 3338.1949
2536.562 2696.65576666667
2470.462 3977.1308
970.4529 2452.82303333333
10325.27 5167.9109
843.9733 4176.6402
4107.692 4715.5875
3168.338 4497.45683333333
641.991 283.8195
2086.678 1416.30776666667
2499.033 1655.12626666667
1218.333 2944.8343
2240.456 2413.23903333333
2685.976 2690.43373333333
1410.95 4741.5826
490.6789 1700.55443333333
2204.509 1741.05263333333
1481.726 1917.7414
1052.905 3382.07586666667
537.8603 1637.03023333333
1416.663 642.505266666667
2195.933 2188.9955
2343.467 6795.06756666667
2052.299 4663.7074
39421.49 69737.1462333334
2633.946 5187.92223333333
3842.133 2403.1302
2196.821 3537.22246666667
1181.473 6648.5392
513.2701 530.006966666667
1897.411 1238.60353333333
26617.05 21852.9496
4107.511 5594.15863333333
1998.615 3939.89303333333
3086.305 1552.3255
2420.378 1802.44443333333
1285.136 1248.03003333333
37463.55 51479.1371
1506.238 3699.5822
6843.208 4934.7
920.3498 1970.56823333333
1315.015 2498.65686666667
528.2458 2687.46656666667
1253.353 2162.7659
487.5223 889.729533333333
7409.728 15834.5043666667
568.2687 2360.10606666667
637.0018 2364.52483333333
1554.657 2719.0411
2951.334 4321.184
1019.822 2394.6244
1958.213 7941.5605
3114.822 5300.02776666667
773.3022 395.6186
1896.603 905.053466666667
652.1674 1855.99423333333
4902.839 4492.38916666667
2128.161 2870.68243333333
524.3397 2108.97993333333
2626.623 3407.32136666667
3519.165 4885.66916666667
1280.295 1026.95446666667
3331.239 4748.0731
3174.315 4392.96496666667
1001.493 3261.60866666667
2144.002 4840.7836
1005.286 2737.08296666667
1363.522 1051.29876666667
9160.616 8886.4108
1191.876 1666.67863333333
1500.45 3637.8022
777.1617 2203.98276666667
676.9453 598.4816
404.2161 544.0182
3234 3693.80623333333
3106.883 3710.87503333333
1464.024 4956.37293333333
1102.501 1882.71836666667
1052.894 1341.1213
2525.482 2002.69473333333
2423.815 2315.84666666667
5975.217 6651.12976666667
11211.4 14243.0588333333
2209.486 4922.4397
1095.815 3080.22713333333
1721.582 1966.96543333333
6432.057 2700.93383333333
672.2462 1622.74616666667
11499.98 3921.73503333333
4292.63 1951.00223333333
1631.891 3824.8647
443.2136 1014.70153333333
1455.778 2084.05273333333
1872.778 1250.9847
2772.12 3431.30933333333
2008.861 3990.78503333334
2735.351 3119.49383333333
2115.812 2062.64473333333
783.1666 330.685633333333
1125.315 2731.80566666667
4061.961 4474.32693333333
2126.181 572.6764
3871.58 4466.68223333333
1366.461 2548.51673333333
881.7007 967.0795
1744.539 9554.83153333333
719.9128 1410.54966666667
1204.426 1923.18923333333
782.6438 2500.39303333333
2142.437 5353.1339
896.1419 4902.91513333333
3547.1 9739.11943333334
36827.43 18702.2577333333
1641.234 2631.0669
1070.446 2077.2529
472.3194 312.442433333333
1868.885 1066.62176666667
5769.439 6615.59196666666
1063.363 1122.83596666667
1466.551 810.648633333333
751.7022 556.933666666667
1219.306 1612.59726666667
4791.41 8759.93153333333
1368.993 4508.435
5321.449 8875.96596666667
1556.984 2907.7839
1159.639 4376.27803333333
3519.445 3423.81463333334
1330.797 3694.46166666667
537.9382 2101.96026666667
1016.292 1206.14723333333
799.0324 446.372666666667
4142.339 3523.83403333333
460.376 1363.63203333333
1718.427 696.128
1686.134 1344.5586
1529.167 3613.26523333333
1544.382 2850.3253
4024.665 3692.64526666667
2769.286 3201.53173333333
2230.477 2720.84613333333
677.7398 1845.14176666667
3654.273 4411.62306666666
2161.359 2907.15123333333
1753.084 3467.63146666666
34855.23 40168.5750666667
2491.906 5855.56846666666
1776.839 3066.06673333333
2146.329 1101.47686666667
26526.85 20100.818
31317.98 32176.4184666667
1474.707 590.331533333333
958.7829 396.561466666667
19098.5 26899.4694
4845.702 3960.19743333333
3743.808 2054.35083333333
1075.671 117.6745
3203.769 4852.75623333334
10550.41 5717.66526666667
4346.017 3902.53936666667
1178.788 1553.978
2261.928 2779.3515
3076.876 4288.55246666667
1464.788 939.819233333333
2406.798 4001.18133333333
4384.457 4210.61243333333
1041.202 7116.71163333334
3036.708 5706.2008
1035.76 2766.08546666667
1410.989 1024.41643333333
1309.005 2369.65676666667
535.9917 893.882166666667
938.6725 1054.2088
1353.016 1346.47713333333
58021.61 74920.7958666667
651.339 494.225166666667
1775.23 2337.46713333333
1160.949 2401.77496666667
1584.419 2508.5074
2718.023 5530.56396666667
920.6211 1262.21806666667
3947.751 2407.71766666667
1598.265 1789.27446666667
3467.9 8635.77286666667
2882.404 4135.7796
39081.42 42538.6583666667
1382.711 1865.46843333333
2239.701 5040.53583333333
2477.013 2304.1066
1767.636 3168.33826666667
1699.745 3025.71343333333
2384.817 4292.15633333333
1527.766 2452.2037
4492.877 4622.43843333333
3095.235 6942.50583333333
4406.744 4059.15456666667
2701.092 2943.95316666667
2468.421 3048.82973333333
1944.948 3730.26
36993.91 50380.4756333334
750.4003 694.715866666667
956.1011 2764.5036
1034.744 839.088433333334
1057.767 1737.647
786.7646 586.472566666667
935.5104 939.781133333333
1859.688 2189.04213333333
523.8874 1525.42103333333
1714.287 4740.87213333333
2830.883 2686.1088
8866.642 3525.15966666667
2138.252 3117.58596666667
1362.966 1880.7389
3476.999 4062.40963333333
2113.375 1745.3911
637.9136 334.113733333334
20781.6 16313.8154666667
1878.628 706.095733333334
3136.434 3527.03993333333
4144.926 2804.32756666667
5842.651 10932.4306
1264.099 1992.47946666667
966.271 584.506266666667
1072.933 2771.03446666667
752.7634 1213.2237
8285.341 8755.0232
828.9247 584.975733333333
1231.302 2614.3658
5224.723 6668.7953
2254.936 3629.40253333333
908.1424 1081.32603333333
3790.7 5978.14123333333
3449.079 3893.41066666667
3714.292 2690.55396666667
1753.082 2629.50296666666
47233.89 48402.5551
622.0549 942.0754
32158.82 27846.4256
5050.153 3949.17993333333
1011.996 2456.63326666667
531.1201 373.3895
3478.567 3925.2259
14090.09 15229.852
1099.297 1882.80403333333
1218.56 838.307833333334
620.2875 2038.5734
3642.054 6992.54009999999
653.4953 1452.47446666667
1390.461 1582.65703333333
1308.459 3176.2742
1492.473 3578.1256
1483.462 1277.3987
1352.417 2547.5392
39063.72 41240.0061666667
4097.833 11180.6990333333
945.9214 5529.35936666667
4661.177 6140.2258
1341.851 665.3151
983.6847 923.8581
2016.352 441.138933333333
566.7797 5549.04353333333
941.6899 5827.4008
1967.342 2715.96676666667
3123.371 9993.9556
852.2934 1621.03016666667
1859.541 3252.32613333333
2764.995 4284.63053333333
2367.727 4553.9533
2536.494 1586.3199
3221.347 3470.15996666667
954.1164 1676.82043333333
16292.68 5060.10883333333
367.5999 1441.04513333333
885.014 2321.63733333333
3809.147 3363.94213333333
2761.607 4306.6841
2764.103 3040.83463333333
4687.666 3887.8116
879.6678 1180.44803333333
1106.174 1235.32813333333
190.1447 1118.56923333333
4447.377 7592.13043333333
1301.699 2204.6179
5336.84 5980.09446666667
406.8971 1398.04066666667
1244.893 1712.1122
1359.045 597.2411
2220.941 2457.0496
1136.218 2721.21233333333
4194.571 5145.75433333333
1938.309 376.902266666667
227.1178 2100.74396666667
3522.372 1603.5503
427.9733 1719.60406666667
412.3205 487.220366666667
1801.231 1773.94413333333
757.4046 1524.80293333333
4044.202 9623.6363
954.8812 2432.56913333333
1334.509 982.354333333333
2345.015 2978.9035
1227.139 868.947266666667
5098.941 6318.2619
5861.599 6158.77543333334
702.4354 1035.82913333333
892.3784 2354.12206666667
2005.965 4025.57816666667
194.0039 856.327466666667
1777.246 1141.60833333333
1045.298 2646.57443333333
1850.115 1949.8569
2048.909 1484.64186666667
1439.095 1299.8424
3152.45 1644.24706666667
1217.896 4804.51296666667
3953.215 6109.15426666667
3462.032 2413.7713
53333.82 78124.9453666667
1391.327 4768.5976
3273.007 2935.09303333333
686.916 1080.5654
1971.192 2169.83183333333
1823.826 1954.4256
12817.19 11544.6952333333
571.125 808.240133333333
3844.416 8265.09533333333
3900.143 3631.07583333333
1988.113 1338.17993333333
1719.295 1303.44473333333
1385.232 783.330466666667
1666.421 2567.23946666667
49658.77 76497.2197666667
2935.42 1901.71503333333
899.9156 310.201466666667
5008.815 6042.03536666667
3125.304 6169.1575
1527.545 3080.7707
9532.919 4664.5202
1000.86 1575.79886666667
3792.122 3394.35793333333
1784.673 1733.49046666667
55200.34 82301.7569
1315.798 2093.36726666667
3796.275 5382.75193333333
831.8893 1327.31586666667
656.9397 2486.6731
1054.45 3184.94373333333
2541.754 2894.4194
595.6775 376.0689
4540.372 4385.8861
2102.627 1130.06573333333
3442.739 4390.3388
1049.289 1129.28726666667
7873.634 3595.663
411.3864 172.8265
1502.473 1663.14106666667
1356.277 1966.52183333333
44006.83 48032.3573333333
3371.261 3931.71936666667
604.0157 534.2014
2628.781 1755.1585
851.0932 1623.9285
1640.658 951.3027
4023.943 3439.73453333333
3939.85 2591.79613333333
1297.589 1465.46973333333
4756.649 5588.45713333334
39289.03 28426.729
390.5048 953.328933333333
2971.261 5734.58276666667
1089.577 1029.7707
2144.339 1506.28836666667
4016.504 2878.18986666667
740.8311 2080.91833333333
1144.186 4670.46036666667
4385.851 2977.21983333333
2066.706 1751.68063333333
4770.37 4311.27553333333
1969.558 3454.9047
397.5965 2750.1656
547.3048 2050.25096666667
3358.308 3602.94166666667
2142.388 2541.5194
1749.102 959.7633
2189.711 4615.77923333333
1523.219 2951.93583333333
1380.095 511.4336
1427.966 1666.52416666667
1446.014 3457.4485
6829.634 5514.7932
3270.536 2669.19526666667
1286.14 1129.19506666667
1334.104 1295.48093333333
841.1101 1057.99403333333
649.9625 482.431633333333
848.8849 905.041866666667
1203.646 1140.81103333333
1084.553 506.965866666667
1040.435 2613.99423333333
3403.081 1198.2018
1198.01 3336.17966666667
1825.103 1648.91093333333
4728.035 5485.13583333333
1310.304 676.627033333333
4378.153 4835.46146666667
2028.288 3378.37443333333
3036.115 3623.65393333333
5002.148 8959.94436666667
734.7844 3315.54646666667
35381.7 17239.201
4748.489 4029.35016666667
957.1311 2889.81903333333
2932.647 4717.76183333333
194.1457 382.991433333334
3250.92 4733.78046666667
4364.015 4838.6726
1105.359 1242.94643333333
1168.682 614.9173
1375.847 1211.75973333333
1133.164 2472.36833333333
1601.883 2394.5387
1964.109 2437.14196666667
1232.814 3728.10596666666
2353.511 9237.74536666667
2367.727 4560.8503
1464.816 2992.16573333333
11172.56 2911.68993333333
2315.391 2508.30283333334
1503.398 3035.4788
1861.429 2024.53923333333
3656.31 6024.42563333333
3601.478 2687.1747
441.3614 438.289833333333
2263.907 3156.2385
1114.781 492.8438
857.27 2713.1454
38741.35 43758.3591666667
1957.125 3770.49256666667
33020.54 29470.9884
1631.704 3632.46966666667
1553.92 4183.88166666667
1208.221 2389.60076666667
722.2881 1344.4213
885.9778 918.055966666667
802.7928 611.0432
5370.371 9066.67043333334
6317.674 8180.89086666667
4325.123 6162.92423333333
19838.53 20847.5172
4354.471 3234.66356666667
1013.958 4063.48253333333
1314.888 2265.64153333333
746.907 566.196633333334
1434.649 2767.92896666667
2251.436 3195.86446666667
1067.928 218.847066666667
524.3901 1179.37943333333
1727.743 3930.63506666667
720.154 1591.42653333333
875.1497 2312.95243333333
4960.492 5633.24233333333
918.4241 642.2615
2196.402 5678.25003333333
3257.183 5276.95173333333
41673.5 57835.6935333334
2784.338 3613.0812
1024.068 3249.35566666667
941.3039 2131.7863
2608.38 872.330066666667
626.0872 1282.51266666667
480.7434 1003.51943333333
1337.649 3903.07646666667
1406.286 1900.62793333333
2565.276 4457.4743
3322.664 3894.61093333334
1547.83 7127.70403333334
2168.463 806.508433333333
1967.003 3216.31116666667
728.4762 1341.7417
3127.684 4691.7391
11925.21 12033.3284333333
1835.445 4252.26926666667
13141.4 11553.2233333333
5942.173 14561.7577333333
1563.299 1308.08113333333
2960.682 2597.69156666667
1973.237 1260.01776666667
1651.59 2715.6291
630.3279 1537.5945
29509.26 25924.6319333333
1327.454 2335.70776666667
1008.342 1187.38843333333
1330.086 2120.0846
654.0968 389.280233333333
487.8019 1165.0628
22887.3 12831.4969666667
49240.99 50515.7825333333
26622.82 46488.8161
22371.5 13789.5275333333
1250.513 2571.42586666667
2097.514 2392.89566666667
1035.85 3860.2684
1640.26 2962.30063333333
949.1874 2993.28443333333
500.5862 2335.41676666667
909.6665 2227.2694
776.0831 400.927233333333
1382.281 814.3419
1827.7 2030.99196666667
3871.296 6024.25923333333
1813.987 1062.7455
3166.317 4013.19573333333
5081.97 6040.89203333333
1884.251 5249.6831
1723.797 1504.40403333333
1931.087 5509.0753
6349.107 6040.56376666667
45270.83 54732.0135666667
6805.758 2484.2975
1923.958 1686.2763
5046.641 6043.56876666667
3210.923 6329.55143333333
507.7385 387.636333333333
4573.02 5083.95036666667
5537.052 7006.82006666667
2694.818 6146.5575
41597.76 45278.9552
1472.635 2986.3704
981.3338 981.546966666667
321.8746 1038.07183333333
2558.223 4320.84133333333
779.3136 4992.93023333333
2214.048 4196.81736666667
1565.584 871.880833333333
1193.464 1992.9829
723.7605 3502.98006666667
3594.683 3674.97786666667
4275.44 3296.92286666667
4934.443 2071.56736666667
900.6379 892.472666666667
1693.861 2400.83793333333
2043.192 2931.33123333333
472.3233 1612.00636666667
1631.95 3292.57536666667
1337.202 930.4527
1411.328 3894.7775
5349.796 5908.6671
1529.987 3944.74263333333
767.3938 804.058633333334
